repo_key,repo_name,category,origin_url,stars,forks,archived,license,last_commit_at,days_since_last_commit,stale_bucket,findings_total,native_findings,collection_scale_findings,cluster_issue_instances,multi_signal_issue_instances,cross_tool_issue_instances,instruction_surface_files,skill_files,plugin_manifest_files,mcp_manifest_files,surface_diversity,has_skill_md,top_canonical_class,top_canonical_class_count
category1_top_instruction_repos/Chalarangelo__30-seconds-of-code,Chalarangelo__30-seconds-of-code,category1_top_instruction_repos,https://github.com/Chalarangelo/30-seconds-of-code.git,128000,12500,False,CC-BY-4.0,2026-04-14T13:06:23+03:00,12,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category1_top_instruction_repos/NousResearch__hermes-agent,NousResearch__hermes-agent,category1_top_instruction_repos,https://github.com/NousResearch/hermes-agent.git,119000,17700,False,MIT,2026-04-20T07:14:33-07:00,6,0-30d,96,4,3,87,9,1,129,128,0,0,2,True,unsafe_command_or_execution_surface,28
category1_top_instruction_repos/Shubhamsaboo__awesome-llm-apps,Shubhamsaboo__awesome-llm-apps,category1_top_instruction_repos,https://github.com/Shubhamsaboo/awesome-llm-apps.git,108000,15900,False,Apache-2.0,2026-04-18T23:07:13-07:00,8,0-30d,5,0,0,5,0,0,24,21,0,0,2,True,agent_role_or_goal_manipulation,1
category1_top_instruction_repos/Significant-Gravitas__AutoGPT,Significant-Gravitas__AutoGPT,category1_top_instruction_repos,https://github.com/Significant-Gravitas/AutoGPT.git,184000,46200,False,License,2026-04-17T15:22:10+00:00,9,0-30d,12,1,2,12,0,0,29,9,0,0,2,True,unsafe_command_or_execution_surface,1
category1_top_instruction_repos/affaan-m__everything-claude-code,affaan-m__everything-claude-code,category1_top_instruction_repos,https://github.com/affaan-m/everything-claude-code.git,168000,26000,False,MIT,2026-04-19T14:02:52-07:00,7,0-30d,108,4,0,107,1,0,476,459,2,1,4,True,credential_or_pii_exposure_surface,14
category1_top_instruction_repos/angular__angular,angular__angular,category1_top_instruction_repos,https://github.com/angular/angular.git,100000,27200,False,MIT,2026-04-17T15:14:59-07:00,9,0-30d,4,1,0,4,0,0,15,7,0,0,3,True,autonomous_execution_or_looping,1
category1_top_instruction_repos/anomalyco__opencode,anomalyco__opencode,category1_top_instruction_repos,https://github.com/anomalyco/opencode.git,150000,17300,False,MIT,2026-04-20T09:56:26-04:00,6,0-30d,2,0,0,2,0,0,9,3,0,0,2,True,agent_role_or_goal_manipulation,1
category1_top_instruction_repos/ant-design__ant-design,ant-design__ant-design,category1_top_instruction_repos,https://github.com/ant-design/ant-design.git,97900,54600,False,License,2026-04-20T17:14:02+08:00,6,0-30d,3,0,0,3,0,0,9,6,0,0,2,True,unsafe_command_or_execution_surface,1
category1_top_instruction_repos/anthropics__claude-code,anthropics__claude-code,category1_top_instruction_repos,https://github.com/anthropics/claude-code.git,118000,19700,False,License,2026-04-18T01:34:25+00:00,9,0-30d,10,1,1,10,0,0,22,10,12,0,3,True,credential_or_pii_exposure_surface,2
category1_top_instruction_repos/anthropics__skills,anthropics__skills,category1_top_instruction_repos,https://github.com/anthropics/skills.git,125000,14600,False,,2026-04-16T15:12:57-04:00,10,0-30d,9,0,1,8,1,0,18,18,0,0,2,True,unsafe_command_or_execution_surface,2
category1_top_instruction_repos/avelino__awesome-go,avelino__awesome-go,category1_top_instruction_repos,https://github.com/avelino/awesome-go.git,171000,13200,False,MIT,2026-04-19T22:35:49+00:00,7,0-30d,0,0,0,0,0,0,3,0,0,0,1,False,,
category1_top_instruction_repos/axios__axios,axios__axios,category1_top_instruction_repos,https://github.com/axios/axios.git,109000,11700,False,MIT,2026-04-19T18:51:43+02:00,7,0-30d,1,0,0,1,0,0,1,0,0,0,1,False,prompt_or_instruction_override_surface,1
category1_top_instruction_repos/denoland__deno,denoland__deno,category1_top_instruction_repos,https://github.com/denoland/deno.git,107000,6000,False,MIT,2026-04-18T13:29:54+02:00,8,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category1_top_instruction_repos/electron__electron,electron__electron,category1_top_instruction_repos,https://github.com/electron/electron.git,121000,17200,False,MIT,2026-04-20T10:26:43-05:00,6,0-30d,9,0,0,9,0,0,7,4,0,0,2,True,credential_or_pii_exposure_surface,1
category1_top_instruction_repos/excalidraw__excalidraw,excalidraw__excalidraw,category1_top_instruction_repos,https://github.com/excalidraw/excalidraw.git,122000,13400,False,MIT,2026-04-13T10:30:58+02:00,14,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category1_top_instruction_repos/f__prompts.chat,f__prompts.chat,category1_top_instruction_repos,https://github.com/f/prompts.chat.git,161000,21000,False,License,2026-04-20T04:10:41+00:00,7,0-30d,3,0,0,3,0,0,8,4,1,1,4,True,unsafe_command_or_execution_surface,1
category1_top_instruction_repos/facebook__react,facebook__react,category1_top_instruction_repos,https://github.com/facebook/react.git,245000,51000,False,MIT,2026-04-17T13:21:41-04:00,9,0-30d,1,0,0,1,0,0,9,7,0,0,2,True,autonomous_execution_or_looping,1
category1_top_instruction_repos/facebook__react-native,facebook__react-native,category1_top_instruction_repos,https://github.com/facebook/react-native.git,126000,25200,False,MIT,2026-04-20T07:48:25-07:00,6,0-30d,1,0,0,1,0,0,1,0,0,0,1,False,autonomous_execution_or_looping,1
category1_top_instruction_repos/fastapi__fastapi,fastapi__fastapi,category1_top_instruction_repos,https://github.com/fastapi/fastapi.git,97700,9200,False,MIT,2026-04-20T21:41:14+00:00,6,0-30d,0,0,0,0,0,0,1,1,0,0,2,True,,
category1_top_instruction_repos/fatedier__frp,fatedier__frp,category1_top_instruction_repos,https://github.com/fatedier/frp.git,106000,15000,False,Apache-2.0,2026-04-14T01:18:31+08:00,13,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category1_top_instruction_repos/firecrawl__firecrawl,firecrawl__firecrawl,category1_top_instruction_repos,https://github.com/firecrawl/firecrawl.git,113000,7200,False,AGPL-3.0,2026-04-20T10:11:30-03:00,6,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category1_top_instruction_repos/flutter__flutter,flutter__flutter,category1_top_instruction_repos,https://github.com/flutter/flutter.git,176000,30300,False,BSD-3-Clause,2026-04-20T10:43:38+00:00,6,0-30d,4,0,0,4,0,0,125,3,0,0,3,True,agent_role_or_goal_manipulation,1
category1_top_instruction_repos/freeCodeCamp__freeCodeCamp,freeCodeCamp__freeCodeCamp,category1_top_instruction_repos,https://github.com/freeCodeCamp/freeCodeCamp.git,444000,44400,False,BSD-3-Clause,2026-04-20T20:49:36+05:30,6,0-30d,1,0,0,1,0,0,2,0,0,0,1,False,credential_or_pii_exposure_surface,1
category1_top_instruction_repos/ggml-org__llama.cpp,ggml-org__llama.cpp,category1_top_instruction_repos,https://github.com/ggml-org/llama.cpp.git,107000,17400,False,MIT,2026-04-20T07:37:17-07:00,6,0-30d,1,0,0,1,0,0,2,0,0,0,1,False,autonomous_execution_or_looping,1
category1_top_instruction_repos/google-gemini__gemini-cli,google-gemini__gemini-cli,category1_top_instruction_repos,https://github.com/google-gemini/gemini-cli.git,103000,13400,False,Apache-2.0,2026-04-18T00:08:02+00:00,9,0-30d,7,0,0,7,0,0,22,14,0,0,2,True,tool_or_skill_poisoning_surface,1
category1_top_instruction_repos/huggingface__transformers,huggingface__transformers,category1_top_instruction_repos,https://github.com/huggingface/transformers.git,160000,33000,False,Apache-2.0,2026-04-20T13:44:55+00:00,6,0-30d,1,0,0,1,0,0,5,1,0,0,2,True,autonomous_execution_or_looping,1
category1_top_instruction_repos/jaywcjlove__awesome-mac,jaywcjlove__awesome-mac,category1_top_instruction_repos,https://github.com/jaywcjlove/awesome-mac.git,103000,7700,False,CC0-1.0,2026-04-18T08:10:03+00:00,9,0-30d,0,0,0,0,0,0,1,1,0,0,2,True,,
category1_top_instruction_repos/langchain-ai__langchain,langchain-ai__langchain,category1_top_instruction_repos,https://github.com/langchain-ai/langchain.git,135000,22300,False,MIT,2026-04-19T11:06:26-04:00,7,0-30d,2,0,0,2,0,0,3,0,0,1,2,False,agent_role_or_goal_manipulation,2
category1_top_instruction_repos/langflow-ai__langflow,langflow-ai__langflow,category1_top_instruction_repos,https://github.com/langflow-ai/langflow.git,147000,8900,False,MIT,2026-04-15T08:41:09-07:00,11,0-30d,4,0,0,4,0,0,8,6,0,0,2,True,agent_role_or_goal_manipulation,1
category1_top_instruction_repos/langgenius__dify,langgenius__dify,category1_top_instruction_repos,https://github.com/langgenius/dify.git,139000,21800,False,License,2026-04-20T13:43:17+00:00,6,0-30d,3,0,0,3,0,0,27,6,0,0,3,True,agent_role_or_goal_manipulation,1
category1_top_instruction_repos/microsoft__PowerToys,microsoft__PowerToys,category1_top_instruction_repos,https://github.com/microsoft/PowerToys.git,132000,7900,False,MIT,2026-04-20T10:13:24-05:00,6,0-30d,7,0,0,7,0,0,22,8,0,1,3,True,credential_or_pii_exposure_surface,1
category1_top_instruction_repos/microsoft__TypeScript,microsoft__TypeScript,category1_top_instruction_repos,https://github.com/microsoft/TypeScript.git,109000,13400,False,Apache-2.0,2026-04-17T18:09:16+00:00,9,0-30d,1,0,0,1,0,0,2,0,0,0,1,False,prompt_or_instruction_override_surface,1
category1_top_instruction_repos/microsoft__generative-ai-for-beginners,microsoft__generative-ai-for-beginners,category1_top_instruction_repos,https://github.com/microsoft/generative-ai-for-beginners.git,110000,59000,False,MIT,2026-04-20T16:40:44+01:00,6,0-30d,4,0,0,4,0,0,56,0,0,0,1,False,tool_or_skill_poisoning_surface,1
category1_top_instruction_repos/microsoft__vscode,microsoft__vscode,category1_top_instruction_repos,https://github.com/microsoft/vscode.git,184000,39500,False,MIT,2026-04-20T15:17:04+00:00,6,0-30d,29,2,1,28,1,0,78,46,0,2,4,True,unsafe_command_or_execution_surface,5
category1_top_instruction_repos/mui__material-ui,mui__material-ui,category1_top_instruction_repos,https://github.com/mui/material-ui.git,98200,32700,False,MIT,2026-04-20T14:06:37+00:00,6,0-30d,0,0,0,0,0,0,2,0,0,0,1,False,,
category1_top_instruction_repos/n8n-io__n8n,n8n-io__n8n,category1_top_instruction_repos,https://github.com/n8n-io/n8n.git,186000,57200,False,License,2026-04-20T14:25:42+00:00,6,0-30d,8,0,1,8,0,0,32,13,1,0,3,True,unsafe_command_or_execution_surface,2
category1_top_instruction_repos/neovim__neovim,neovim__neovim,category1_top_instruction_repos,https://github.com/neovim/neovim.git,99100,6800,False,License,2026-04-20T11:38:47-04:00,6,0-30d,0,0,0,0,0,0,1,0,0,0,1,False,,
category1_top_instruction_repos/nodejs__node,nodejs__node,category1_top_instruction_repos,https://github.com/nodejs/node.git,117000,35400,False,License,2026-04-20T14:49:41+00:00,6,0-30d,0,0,0,0,0,0,102,0,0,0,2,False,,
category1_top_instruction_repos/obra__superpowers,obra__superpowers,category1_top_instruction_repos,https://github.com/obra/superpowers.git,169000,14900,False,MIT,2026-04-16T12:50:46-07:00,10,0-30d,4,0,2,4,0,0,19,14,2,0,3,True,unsafe_command_or_execution_surface,1
category1_top_instruction_repos/openclaw__openclaw,openclaw__openclaw,category1_top_instruction_repos,https://github.com/openclaw/openclaw.git,365000,74700,False,MIT,2026-04-20T16:29:48+01:00,6,0-30d,30,0,2,29,1,0,117,77,0,0,2,True,unsafe_command_or_execution_surface,8
category1_top_instruction_repos/pytorch__pytorch,pytorch__pytorch,category1_top_instruction_repos,https://github.com/pytorch/pytorch.git,99500,27600,False,License,2026-04-20T15:32:49+00:00,6,0-30d,9,0,1,8,1,0,16,12,0,0,2,True,unsafe_command_or_execution_surface,3
