repo_key,category,repo_slug,repo_name,origin_url,github_owner,github_repo
category1_top_instruction_repos/Chalarangelo__30-seconds-of-code,category1_top_instruction_repos,Chalarangelo__30-seconds-of-code,Chalarangelo__30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code.git,Chalarangelo,30-seconds-of-code
category1_top_instruction_repos/NousResearch__hermes-agent,category1_top_instruction_repos,NousResearch__hermes-agent,NousResearch__hermes-agent,https://github.com/NousResearch/hermes-agent.git,NousResearch,hermes-agent
category1_top_instruction_repos/Shubhamsaboo__awesome-llm-apps,category1_top_instruction_repos,Shubhamsaboo__awesome-llm-apps,Shubhamsaboo__awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps.git,Shubhamsaboo,awesome-llm-apps
category1_top_instruction_repos/Significant-Gravitas__AutoGPT,category1_top_instruction_repos,Significant-Gravitas__AutoGPT,Significant-Gravitas__AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,Significant-Gravitas,AutoGPT
category1_top_instruction_repos/affaan-m__everything-claude-code,category1_top_instruction_repos,affaan-m__everything-claude-code,affaan-m__everything-claude-code,https://github.com/affaan-m/everything-claude-code.git,affaan-m,everything-claude-code
category1_top_instruction_repos/angular__angular,category1_top_instruction_repos,angular__angular,angular__angular,https://github.com/angular/angular.git,angular,angular
category1_top_instruction_repos/anomalyco__opencode,category1_top_instruction_repos,anomalyco__opencode,anomalyco__opencode,https://github.com/anomalyco/opencode.git,anomalyco,opencode
category1_top_instruction_repos/ant-design__ant-design,category1_top_instruction_repos,ant-design__ant-design,ant-design__ant-design,https://github.com/ant-design/ant-design.git,ant-design,ant-design
category1_top_instruction_repos/anthropics__claude-code,category1_top_instruction_repos,anthropics__claude-code,anthropics__claude-code,https://github.com/anthropics/claude-code.git,anthropics,claude-code
category1_top_instruction_repos/anthropics__skills,category1_top_instruction_repos,anthropics__skills,anthropics__skills,https://github.com/anthropics/skills.git,anthropics,skills
category1_top_instruction_repos/avelino__awesome-go,category1_top_instruction_repos,avelino__awesome-go,avelino__awesome-go,https://github.com/avelino/awesome-go.git,avelino,awesome-go
category1_top_instruction_repos/axios__axios,category1_top_instruction_repos,axios__axios,axios__axios,https://github.com/axios/axios.git,axios,axios
category1_top_instruction_repos/denoland__deno,category1_top_instruction_repos,denoland__deno,denoland__deno,https://github.com/denoland/deno.git,denoland,deno
category1_top_instruction_repos/electron__electron,category1_top_instruction_repos,electron__electron,electron__electron,https://github.com/electron/electron.git,electron,electron
category1_top_instruction_repos/excalidraw__excalidraw,category1_top_instruction_repos,excalidraw__excalidraw,excalidraw__excalidraw,https://github.com/excalidraw/excalidraw.git,excalidraw,excalidraw
category1_top_instruction_repos/f__prompts.chat,category1_top_instruction_repos,f__prompts.chat,f__prompts.chat,https://github.com/f/prompts.chat.git,f,prompts.chat
category1_top_instruction_repos/facebook__react,category1_top_instruction_repos,facebook__react,facebook__react,https://github.com/facebook/react.git,facebook,react
category1_top_instruction_repos/facebook__react-native,category1_top_instruction_repos,facebook__react-native,facebook__react-native,https://github.com/facebook/react-native.git,facebook,react-native
category1_top_instruction_repos/fastapi__fastapi,category1_top_instruction_repos,fastapi__fastapi,fastapi__fastapi,https://github.com/fastapi/fastapi.git,fastapi,fastapi
category1_top_instruction_repos/fatedier__frp,category1_top_instruction_repos,fatedier__frp,fatedier__frp,https://github.com/fatedier/frp.git,fatedier,frp
category1_top_instruction_repos/firecrawl__firecrawl,category1_top_instruction_repos,firecrawl__firecrawl,firecrawl__firecrawl,https://github.com/firecrawl/firecrawl.git,firecrawl,firecrawl
category1_top_instruction_repos/flutter__flutter,category1_top_instruction_repos,flutter__flutter,flutter__flutter,https://github.com/flutter/flutter.git,flutter,flutter
category1_top_instruction_repos/freeCodeCamp__freeCodeCamp,category1_top_instruction_repos,freeCodeCamp__freeCodeCamp,freeCodeCamp__freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp.git,freeCodeCamp,freeCodeCamp
category1_top_instruction_repos/ggml-org__llama.cpp,category1_top_instruction_repos,ggml-org__llama.cpp,ggml-org__llama.cpp,https://github.com/ggml-org/llama.cpp.git,ggml-org,llama.cpp
category1_top_instruction_repos/google-gemini__gemini-cli,category1_top_instruction_repos,google-gemini__gemini-cli,google-gemini__gemini-cli,https://github.com/google-gemini/gemini-cli.git,google-gemini,gemini-cli
category1_top_instruction_repos/huggingface__transformers,category1_top_instruction_repos,huggingface__transformers,huggingface__transformers,https://github.com/huggingface/transformers.git,huggingface,transformers
category1_top_instruction_repos/jaywcjlove__awesome-mac,category1_top_instruction_repos,jaywcjlove__awesome-mac,jaywcjlove__awesome-mac,https://github.com/jaywcjlove/awesome-mac.git,jaywcjlove,awesome-mac
category1_top_instruction_repos/langchain-ai__langchain,category1_top_instruction_repos,langchain-ai__langchain,langchain-ai__langchain,https://github.com/langchain-ai/langchain.git,langchain-ai,langchain
category1_top_instruction_repos/langflow-ai__langflow,category1_top_instruction_repos,langflow-ai__langflow,langflow-ai__langflow,https://github.com/langflow-ai/langflow.git,langflow-ai,langflow
category1_top_instruction_repos/langgenius__dify,category1_top_instruction_repos,langgenius__dify,langgenius__dify,https://github.com/langgenius/dify.git,langgenius,dify
category1_top_instruction_repos/microsoft__PowerToys,category1_top_instruction_repos,microsoft__PowerToys,microsoft__PowerToys,https://github.com/microsoft/PowerToys.git,microsoft,PowerToys
category1_top_instruction_repos/microsoft__TypeScript,category1_top_instruction_repos,microsoft__TypeScript,microsoft__TypeScript,https://github.com/microsoft/TypeScript.git,microsoft,TypeScript
category1_top_instruction_repos/microsoft__generative-ai-for-beginners,category1_top_instruction_repos,microsoft__generative-ai-for-beginners,microsoft__generative-ai-for-beginners,https://github.com/microsoft/generative-ai-for-beginners.git,microsoft,generative-ai-for-beginners
category1_top_instruction_repos/microsoft__vscode,category1_top_instruction_repos,microsoft__vscode,microsoft__vscode,https://github.com/microsoft/vscode.git,microsoft,vscode
category1_top_instruction_repos/mui__material-ui,category1_top_instruction_repos,mui__material-ui,mui__material-ui,https://github.com/mui/material-ui.git,mui,material-ui
category1_top_instruction_repos/n8n-io__n8n,category1_top_instruction_repos,n8n-io__n8n,n8n-io__n8n,https://github.com/n8n-io/n8n.git,n8n-io,n8n
category1_top_instruction_repos/neovim__neovim,category1_top_instruction_repos,neovim__neovim,neovim__neovim,https://github.com/neovim/neovim.git,neovim,neovim
category1_top_instruction_repos/nodejs__node,category1_top_instruction_repos,nodejs__node,nodejs__node,https://github.com/nodejs/node.git,nodejs,node
category1_top_instruction_repos/obra__superpowers,category1_top_instruction_repos,obra__superpowers,obra__superpowers,https://github.com/obra/superpowers.git,obra,superpowers
category1_top_instruction_repos/openclaw__openclaw,category1_top_instruction_repos,openclaw__openclaw,openclaw__openclaw,https://github.com/openclaw/openclaw.git,openclaw,openclaw
category1_top_instruction_repos/pytorch__pytorch,category1_top_instruction_repos,pytorch__pytorch,pytorch__pytorch,https://github.com/pytorch/pytorch.git,pytorch,pytorch
category1_top_instruction_repos/ripienaar__free-for-dev,category1_top_instruction_repos,ripienaar__free-for-dev,ripienaar__free-for-dev,https://github.com/ripienaar/free-for-dev.git,ripienaar,free-for-dev
category1_top_instruction_repos/rust-lang__rust,category1_top_instruction_repos,rust-lang__rust,rust-lang__rust,https://github.com/rust-lang/rust.git,rust-lang,rust
category1_top_instruction_repos/rustdesk__rustdesk,category1_top_instruction_repos,rustdesk__rustdesk,rustdesk__rustdesk,https://github.com/rustdesk/rustdesk.git,rustdesk,rustdesk
category1_top_instruction_repos/shadcn-ui__ui,category1_top_instruction_repos,shadcn-ui__ui,shadcn-ui__ui,https://github.com/shadcn-ui/ui.git,shadcn-ui,ui
category1_top_instruction_repos/supabase__supabase,category1_top_instruction_repos,supabase__supabase,supabase__supabase,https://github.com/supabase/supabase.git,supabase,supabase
category1_top_instruction_repos/tensorflow__tensorflow,category1_top_instruction_repos,tensorflow__tensorflow,tensorflow__tensorflow,https://github.com/tensorflow/tensorflow.git,tensorflow,tensorflow
category1_top_instruction_repos/ultraworkers__claw-code,category1_top_instruction_repos,ultraworkers__claw-code,ultraworkers__claw-code,https://github.com/ultraworkers/claw-code.git,ultraworkers,claw-code
category1_top_instruction_repos/vercel__next.js,category1_top_instruction_repos,vercel__next.js,vercel__next.js,https://github.com/vercel/next.js.git,vercel,next.js
category1_top_instruction_repos/vinta__awesome-python,category1_top_instruction_repos,vinta__awesome-python,vinta__awesome-python,https://github.com/vinta/awesome-python.git,vinta,awesome-python
category1_top_instruction_repos/yangshun__tech-interview-handbook,category1_top_instruction_repos,yangshun__tech-interview-handbook,yangshun__tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook.git,yangshun,tech-interview-handbook
category2_agent_tooling/Aider-AI__aider,category2_agent_tooling,Aider-AI__aider,Aider-AI__aider,https://github.com/Aider-AI/aider.git,Aider-AI,aider
category2_agent_tooling/BerriAI__litellm,category2_agent_tooling,BerriAI__litellm,BerriAI__litellm,https://github.com/BerriAI/litellm.git,BerriAI,litellm
category2_agent_tooling/OpenBMB__AgentVerse,category2_agent_tooling,OpenBMB__AgentVerse,OpenBMB__AgentVerse,https://github.com/OpenBMB/AgentVerse.git,OpenBMB,AgentVerse
category2_agent_tooling/OpenHands__OpenHands,category2_agent_tooling,OpenHands__OpenHands,OpenHands__OpenHands,https://github.com/OpenHands/OpenHands.git,OpenHands,OpenHands
category2_agent_tooling/Significant-Gravitas__AutoGPT,category2_agent_tooling,Significant-Gravitas__AutoGPT,Significant-Gravitas__AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,Significant-Gravitas,AutoGPT
category2_agent_tooling/aaif-goose__goose,category2_agent_tooling,aaif-goose__goose,aaif-goose__goose,https://github.com/aaif-goose/goose.git,aaif-goose,goose
category2_agent_tooling/ag2ai__ag2,category2_agent_tooling,ag2ai__ag2,ag2ai__ag2,https://github.com/ag2ai/ag2.git,ag2ai,ag2
category2_agent_tooling/anomalyco__opencode,category2_agent_tooling,anomalyco__opencode,anomalyco__opencode,https://github.com/anomalyco/opencode.git,anomalyco,opencode
category2_agent_tooling/anthropics__claude-code,category2_agent_tooling,anthropics__claude-code,anthropics__claude-code,https://github.com/anthropics/claude-code.git,anthropics,claude-code
category2_agent_tooling/browser-use__browser-use,category2_agent_tooling,browser-use__browser-use,browser-use__browser-use,https://github.com/browser-use/browser-use.git,browser-use,browser-use
category2_agent_tooling/camel-ai__camel,category2_agent_tooling,camel-ai__camel,camel-ai__camel,https://github.com/camel-ai/camel.git,camel-ai,camel
category2_agent_tooling/continuedev__continue,category2_agent_tooling,continuedev__continue,continuedev__continue,https://github.com/continuedev/continue.git,continuedev,continue
category2_agent_tooling/crewAIInc__crewAI,category2_agent_tooling,crewAIInc__crewAI,crewAIInc__crewAI,https://github.com/crewAIInc/crewAI.git,crewAIInc,crewAI
category2_agent_tooling/huggingface__smolagents,category2_agent_tooling,huggingface__smolagents,huggingface__smolagents,https://github.com/huggingface/smolagents.git,huggingface,smolagents
category2_agent_tooling/langchain-ai__langchain,category2_agent_tooling,langchain-ai__langchain,langchain-ai__langchain,https://github.com/langchain-ai/langchain.git,langchain-ai,langchain
category2_agent_tooling/langchain-ai__langgraph,category2_agent_tooling,langchain-ai__langgraph,langchain-ai__langgraph,https://github.com/langchain-ai/langgraph.git,langchain-ai,langgraph
