repo_key,repo_name,repo_path,origin_url,github_owner,github_repo,html_metadata_ok,stars,forks,archived,license,last_commit_at,first_commit_at,commit_count,days_since_last_commit,repo_age_days,stale_bucket,recently_active_90d
category1_top_instruction_repos/Chalarangelo__30-seconds-of-code,Chalarangelo__30-seconds-of-code,../agent-instruction-corpus/clones/category1_top_instruction_repos/Chalarangelo__30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code.git,Chalarangelo,30-seconds-of-code,True,128000,12500,False,CC-BY-4.0,2026-04-14T13:06:23+03:00,2026-04-14T13:06:23+03:00,1,12,12,0-30d,True
category1_top_instruction_repos/NousResearch__hermes-agent,NousResearch__hermes-agent,../agent-instruction-corpus/clones/category1_top_instruction_repos/NousResearch__hermes-agent,https://github.com/NousResearch/hermes-agent.git,NousResearch,hermes-agent,True,119000,17700,False,MIT,2026-04-20T07:14:33-07:00,2026-04-20T07:14:33-07:00,1,6,6,0-30d,True
category1_top_instruction_repos/Shubhamsaboo__awesome-llm-apps,Shubhamsaboo__awesome-llm-apps,../agent-instruction-corpus/clones/category1_top_instruction_repos/Shubhamsaboo__awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps.git,Shubhamsaboo,awesome-llm-apps,True,108000,15900,False,Apache-2.0,2026-04-18T23:07:13-07:00,2026-04-18T23:07:13-07:00,1,8,8,0-30d,True
category1_top_instruction_repos/Significant-Gravitas__AutoGPT,Significant-Gravitas__AutoGPT,../agent-instruction-corpus/clones/category1_top_instruction_repos/Significant-Gravitas__AutoGPT,https://github.com/Significant-Gravitas/AutoGPT.git,Significant-Gravitas,AutoGPT,True,184000,46200,False,License,2026-04-17T15:22:10+00:00,2026-04-17T15:22:10+00:00,1,9,9,0-30d,True
category1_top_instruction_repos/affaan-m__everything-claude-code,affaan-m__everything-claude-code,../agent-instruction-corpus/clones/category1_top_instruction_repos/affaan-m__everything-claude-code,https://github.com/affaan-m/everything-claude-code.git,affaan-m,everything-claude-code,True,168000,26000,False,MIT,2026-04-19T14:02:52-07:00,2026-04-19T14:02:52-07:00,1,7,7,0-30d,True
category1_top_instruction_repos/angular__angular,angular__angular,../agent-instruction-corpus/clones/category1_top_instruction_repos/angular__angular,https://github.com/angular/angular.git,angular,angular,True,100000,27200,False,MIT,2026-04-17T15:14:59-07:00,2026-04-17T15:14:59-07:00,1,9,9,0-30d,True
category1_top_instruction_repos/anomalyco__opencode,anomalyco__opencode,../agent-instruction-corpus/clones/category1_top_instruction_repos/anomalyco__opencode,https://github.com/anomalyco/opencode.git,anomalyco,opencode,True,150000,17300,False,MIT,2026-04-20T09:56:26-04:00,2026-04-20T09:56:26-04:00,1,6,6,0-30d,True
category1_top_instruction_repos/ant-design__ant-design,ant-design__ant-design,../agent-instruction-corpus/clones/category1_top_instruction_repos/ant-design__ant-design,https://github.com/ant-design/ant-design.git,ant-design,ant-design,True,97900,54600,False,License,2026-04-20T17:14:02+08:00,2026-04-20T17:14:02+08:00,1,6,6,0-30d,True
category1_top_instruction_repos/anthropics__claude-code,anthropics__claude-code,../agent-instruction-corpus/clones/category1_top_instruction_repos/anthropics__claude-code,https://github.com/anthropics/claude-code.git,anthropics,claude-code,True,118000,19700,False,License,2026-04-18T01:34:25+00:00,2026-04-18T01:34:25+00:00,1,9,9,0-30d,True
category1_top_instruction_repos/anthropics__skills,anthropics__skills,../agent-instruction-corpus/clones/category1_top_instruction_repos/anthropics__skills,https://github.com/anthropics/skills.git,anthropics,skills,True,125000,14600,False,,2026-04-16T15:12:57-04:00,2026-04-16T15:12:57-04:00,1,10,10,0-30d,True
